experiment,mode,size,block_size,keep_percent,mean_ms,sd_ms
block_size,naive,4194304,32,50,3.270576849666667,0.06276786586120786
block_size,efficient,4194304,32,50,1.1463287453333333,0.028416835109693773
block_size,gpu-compact,4194304,32,50,1.6562332823333334,0.019531218088745864
block_size,naive,4194304,64,50,2.6157787673333335,0.04803793832245819
block_size,efficient,4194304,64,50,1.1793056016666665,0.018419884482938537
block_size,gpu-compact,4194304,64,50,1.600218876,0.07602041979512829
block_size,naive,4194304,128,50,2.602862615333333,0.026190390399636294
block_size,efficient,4194304,128,50,1.2047140263333334,0.012913258718858485
block_size,gpu-compact,4194304,128,50,1.5996701863333334,0.013692201385279405
block_size,naive,4194304,256,50,2.631000531333333,0.02944423418017822
block_size,efficient,4194304,256,50,1.2604729626666666,0.11542037766189059
block_size,gpu-compact,4194304,256,50,1.662146348,0.09807758338358759
block_size,naive,4194304,512,50,2.7172219703333336,0.0766984275497119
block_size,efficient,4194304,512,50,1.2887021853333334,0.07330826005993488
block_size,gpu-compact,4194304,512,50,1.6913582886666667,0.10652012145795554
block_size,naive,4194304,1024,50,2.7068055440000003,0.10426587710872835
block_size,efficient,4194304,1024,50,1.3181420806666666,0.10923600586825578
block_size,gpu-compact,4194304,1024,50,1.7090011736666666,0.17342121731678953
array_size,cpu,256,128,50,0.00014566666666666667,2.294195574342636e-05
array_size,naive,256,128,50,0.017745813333333332,0.0007676067215269376
array_size,efficient,256,32,50,0.029282987,0.0005136697639018675
array_size,thrust,256,128,50,0.06540821333333333,0.005136912191475862
array_size,cpu-compact,256,128,50,0.00021333333333333333,8.386497083606084e-06
array_size,cpu-scan-compact,256,128,50,0.0010536666666666667,0.0007660341593775915
array_size,gpu-compact,256,128,50,0.10110368,0.015911983349946073
array_size,cpu,1024,128,50,0.0005386666666666667,6.504101270224296e-05
array_size,naive,1024,128,50,0.022798613333333332,0.0004913433363070397
array_size,efficient,1024,32,50,0.09297578666666667,0.008191720528566227
array_size,thrust,1024,128,50,0.07486624,0.003763429231113561
array_size,cpu-compact,1024,128,50,0.0009836666666666665,0.0001601259920604189
array_size,cpu-scan-compact,1024,128,50,0.0030523333333333335,1.514375558880085e-05
array_size,gpu-compact,1024,128,50,0.09322997400000001,0.0083813604094101
array_size,cpu,4096,128,50,0.0018393333333333332,4.219399641339192e-05
array_size,naive,4096,128,50,0.02589408,0.0001326966344712638
array_size,efficient,4096,32,50,0.09259114633333333,0.012592083684575808
array_size,thrust,4096,128,50,0.06197066700000001,0.013270310359804968
array_size,cpu-compact,4096,128,50,0.004461666666666667,0.00023349589575265167
array_size,cpu-scan-compact,4096,128,50,0.014289333333333333,0.00010278780731844348
array_size,gpu-compact,4096,128,50,0.09892234733333333,0.012776966156016862
array_size,cpu,16384,128,50,0.007346,0.0001025036584712958
array_size,naive,16384,128,50,0.03212064,0.0025240977882800037
array_size,efficient,16384,32,50,0.09256245433333334,0.008194495759406634
array_size,thrust,16384,128,50,0.068883733,0.010602798025809367
